First Time Buyer Housing Affordability Index (SFH Homes),,,,,,,,,,,,
Regional/ Sales Data and Condo Sales Data Not Seasonally Adjusted,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Q12022,First Time Buyer Housing Affordability Index,,,,,,,,,,,
STATE/REGION/COUNTY,Q12022,Q42021, ,Q12021,  ,Median Home Price,Monthly Payment Including Taxes & Insurance,Minimum Qualifying Income,,,, 
San Benito,48 ,51 ,,53 ,,"$720,380 ","$3,530 ","$105,900 ",,,,
San Joaquin,55 ,57 ,,59 ,,"$442,000 ","$2,170 ","$65,100 ",,,,
Stanislaus,56 ,59 ,,60 ,,"$391,000 ","$1,920 ","$57,600 ",,,,
Tulare,60 ,62 ,,64 ,,"$291,940 ","$1,430 ","$42,900",,,,
Far North,,,,,,,,,,,,
Butte,52 ,52 ,,53 ,,"$382,500 ","$1,880 ","$56,400 ",,,,
Lassen,76 ,77 ,,75 ,,"$208,250 ","$1,020 ","$30,600 ",,,,
Plumas,57 ,58 ,,63 ,,"$365,500 ","$1,790 ","$53,700 ",,,,
Shasta,61 ,63 ,,64 ,,"$323,000 ","$1,580 ","$47,400 ",,,,
Siskiyou,61 ,62 ,,66 ,,"$263,500 ","$1,290 ","$38,700 ",,,,
Tehama,54 ,58 ,,62 ,,"$301,750 ","$1,480 ","$44,400 ",,,,
Other Counties in California,,,,,,,,,,,,
Amador,60 ,61 ,,61 ,,"$361,250 ","$1,770 ","$53,100 ",,,,
Calaveras,56 ,58 ,,57 ,,"$416,080 ","$2,040 ","$61,200 ",,,,
Del Norte,51 ,57 ,,51 ,,"$331,500 ","$1,630 ","$48,900 ",,,,
El Dorado,52 ,58 ,,54 ,,"$600,800 ","$2,950 ","$88,500 ",,,,
Humboldt,50 ,50 ,,55 ,,"$365,500 ","$1,790 ","$53,700 ",,,,
Lake,58 ,61 ,,62 ,,"$300,900 ","$1,480 ","$44,400 ",,,,
Mariposa,51 ,51 ,,55 ,,"$376,130 ","$1,840 ","$55,200 ",,,,
Mendocino,45 ,41 ,,44 ,,"$427,550 ","$2,100 ","$63,000 ",,,,
Mono,20 ,32 ,,8 ,,"$881,880 ","$4,320 ","$129,600 ",,,,
Nevada,52 ,55 ,,53 ,,"$467,500 ","$2,290 ","$68,700 ",,,,
Sutter,59 ,60 ,,62 ,,"$362,100 ","$1,780 ","$53,400 ",,,,
Tuolumne,58 ,63 ,,64 ,,"$365,080 ","$1,790 ","$53,700 ",,,,
Yolo,47 ,51 ,,54 ,,"$535,500 ","$2,630 ","$78,900 ",,,,
Yuba,52 ,53 ,,61 ,,"$365,500 ","$1,790 ","$53,700 ",,,,
